rep_id,rep_name,division,channel,hire_date,email
1,James Caruso,North Division,On-Premise,2017-05-10,james.caruso@brescome.com
2,Maria Delgado,North Division,Off-Premise,2018-07-18,maria.delgado@brescome.com
3,Kevin O'Brien,South Division,On-Premise,2018-02-04,kevin.o'brien@brescome.com
4,Sandra Moss,South Division,Off-Premise,2017-12-31,sandra.moss@brescome.com
5,Tyler Grant,Fairfield County,On-Premise,2019-06-27,tyler.grant@brescome.com
6,Priya Nair,Fairfield County,Off-Premise,2020-12-09,priya.nair@brescome.com
7,Louis Ferrara,Fairfield County,On-Premise,2016-04-11,louis.ferrara@brescome.com
8,Danielle Brooks,Worldwide Wines,On-Premise,2018-05-23,danielle.brooks@brescome.com
9,Marcus Webb,Worldwide Wines,Off-Premise,2015-11-27,marcus.webb@brescome.com
10,Christine Talbot,Spirits Division,On-Premise,2019-01-22,christine.talbot@brescome.com
11,Derek Huang,Spirits Division,Off-Premise,2020-11-05,derek.huang@brescome.com
12,Allison Park,North Division,Off-Premise,2022-12-29,allison.park@brescome.com
13,Robert Vance,South Division,On-Premise,2015-05-11,robert.vance@brescome.com
14,Nina Castillo,Worldwide Wines,On-Premise,2019-08-13,nina.castillo@brescome.com
15,Ethan Moore,Spirits Division,On-Premise,2017-02-08,ethan.moore@brescome.com
